addr,lat,lng,addr_norm,bank_code,bank_name,branch_code,branch_name,tel_no,manager,establish_date,extended_open_time,url
台北市中正區重慶南路一段120號,25.041505,121.512868,台北市中正區建國里重慶南路一段120號,004,臺灣銀行,0040037,臺灣銀行營業部,02-23493456,朱仲之,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040037"
台北市中正區貴陽街一段120號,25.039025,121.508427,台北市中正區建國里貴陽街一段120號,004,臺灣銀行,0040059,臺灣銀行公庫部,02-23615421,楊添泉,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040059"
台北市中正區館前路49號,25.044981,121.515127,台北市中正區黎明里館前路49號,004,臺灣銀行,0040071,臺灣銀行館前分行,02-23812949,胡宜謙,1959-01-05,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040071"
台北市中正區武昌街一段49號,25.044294,121.510838,台北市中正區光復里武昌街一段49號,004,臺灣銀行,0040082,臺灣銀行信託部,02-23493456,黃欉樹,1961-10-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040082"
台南市中西區府前路一段155號,22.988665,120.20667,台南市中西區郡王里府前路一段155號,004,臺灣銀行,0040093,臺灣銀行臺南分行,06-2160168,吳炳松,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040093"
台中市西區自由路一段140號,24.13664,120.678999,台中市西區民生里自由路一段140號,004,臺灣銀行,0040107,臺灣銀行臺中分行,04-22224001,陳文郁,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040107"
高雄市前金區中正四路264號,22.628009,120.290846,高雄市前金區後金里中正四路264號,004,臺灣銀行,0040118,臺灣銀行高雄分行,07-2515131,陳俊雄,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040118"
基隆市中正區義一路16號,25.13143,121.744882,基隆市中正區港通里義一路16號,004,臺灣銀行,0040129,臺灣銀行基隆分行,02-24247113,江仁湧,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040129"
南投縣南投市中興新村光華路11號,23.955565,120.688792,南投縣南投市光華里光華路11號,004,臺灣銀行,0040130,臺灣銀行中興新村分行,049-2332101,劉慶桐,1958-12-02,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040130"
嘉義市中山路306號,23.479929,120.448686,嘉義市西區北杏里中山路306號,004,臺灣銀行,0040141,臺灣銀行嘉義分行,05-2224471,張國強,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040141"
新竹市林森路29號,24.801535,120.969289,新竹市東區成功里林森路29號,004,臺灣銀行,0040152,臺灣銀行新竹分行,03-5266161,游國鍮,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040152"
彰化縣彰化市成功路130號,24.0780569,120.5418601,彰化縣彰化市大同里成功路126號,004,臺灣銀行,0040163,臺灣銀行彰化分行,04-7225191,溫哲選,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040163"
屏東縣屏東市中山路43號,22.672641,120.485685,屏東縣屏東市光榮里中山路43號,004,臺灣銀行,0040174,臺灣銀行屏東分行,08-7328141,張簡奉周,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040174"
花蓮縣花蓮市公園路3號,23.97700075,121.61060396,花蓮縣花蓮市民生里公園路3號,004,臺灣銀行,0040185,臺灣銀行花蓮分行,03-8322151,呂有用,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040185"
