addr,lat,lng,addr_norm,bank_code,bank_name,branch_code,branch_name,tel_no,manager,establish_date,extended_open_time,url
台北市中山區中山北路二段四十四號,25.055228,121.522496,台北市中山區民安里中山北路二段44號,812,台新國際商業銀行,8120012,台新國際商業銀行營業部,02-25683988,周淑芳,1992-03-23,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120012"
台北市大安區仁愛路4段118號,25.037507,121.549947,台北市大安區敦安里仁愛路四段118號,812,台新國際商業銀行,8120023,台新國際商業銀行敦南分行,02-23268899,吳珮芬,1992-03-23,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120023"
台北市新生南路1段62號,25.040559,121.532518,台北市中正區幸市里新生南路一段62號,812,台新國際商業銀行,8120045,台新國際商業銀行新生分行,02-23952888,彭錦靖,1992-04-30,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120045"
新北市新莊區中華路二段七五、八一號,25.047667,121.452717,新北市新莊區中華里中華路二段75號,812,台新國際商業銀行,8120056,台新國際商業銀行新莊分行,02-29980888,呂俊宏,1992-05-30,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120056"
桃園市復興路205號,24.988721,121.308697,桃園市桃園區文明里復興路205號,812,台新國際商業銀行,8120067,台新國際商業銀行桃園分行,03-3396000,張永杰,1992-06-01,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120067"
台中市西區台灣大道2段416號,24.155266,120.663853,台中市西區忠明里台灣大道二段416號,812,台新國際商業銀行,8120078,台新國際商業銀行台中分行,04-2328-5577,林錫祥,1992-05-09,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120078"
新北市板橋區中正路176號,25.01748,121.456349,新北市板橋區港德里中正路176號,812,台新國際商業銀行,8120089,台新國際商業銀行板橋分行,02-29658888,鄧蕙青,1993-10-28,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120089"
高雄市前金區中華三路九十八號,22.628316,120.296626,高雄市前金區青山里中華三路98號,812,台新國際商業銀行,8120090,台新國際商業銀行高雄分行,07-2824300,王泱淇,1993-11-24,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120090"
台南市西門路2段389號,22.99868,120.200385,台南市中西區普濟里西門路二段389號,812,台新國際商業銀行,8120104,台新國際商業銀行台南分行,06-2233383,陳祺佳,1993-12-11,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120104"
台北市松山區南京東路3段289號,25.052006,121.546319,台北市松山區中正里南京東路三段289號,812,台新國際商業銀行,8120115,台新國際商業銀行南京東路分行,02-25461068,蔡如茵,1993-12-31,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120115"
桃園縣中壢市延平路366號,24.959777,121.224835,桃園市中壢區興南里延平路366號,812,台新國際商業銀行,8120126,台新國際商業銀行中壢分行,03-4272345,劉宏信,1994-01-31,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120126"
台北市大安區仁愛路4段118號,25.037507,121.549947,台北市大安區敦安里仁愛路四段118號,812,台新國際商業銀行,8120137,台新國際商業銀行信託部,02-23268899,吳靜怡,1993-12-13,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120137"
台北市中山區建國北路2段17號,25.054158,121.537281,台北市中山區復華里建國北路二段17號,812,台新國際商業銀行,8120148,台新國際商業銀行國外部,02-25056966,曹淑玲,1994-04-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120148"
高雄市前鎮區中山二路260號,22.613307,120.305159,高雄市前鎮區西甲里中山二路260號,812,台新國際商業銀行,8120159,台新國際商業銀行苓雅分行,07-5375537,曾仁衍,1994-10-11,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120159"
新北市蘆洲區民族路二六五號,25.090633,121.476164,新北市蘆洲區水河里民族路265號,812,台新國際商業銀行,8120160,台新國際商業銀行蘆洲分行,02-28485858,葉馨鴻,1994-12-06,星期一 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120160"
台北市士林區中山北路6段88號,25.104983,121.52497,台北市士林區忠誠里中山北路六段88號,812,台新國際商業銀行,8120171,台新國際商業銀行天母分行,02-28363988,王沅晧,1995-01-23,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120171"
台中市大里區中興路二段一二七號,24.104291,120.688566,台中市大里區長榮里中興路二段127號,812,台新國際商業銀行,8120182,台新國際商業銀行大里分行,04-24834088,劉原良,1995-01-17,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120182"
台北市中山區建國北路2段17號,25.054158,121.537281,台北市中山區復華里建國北路二段17號,812,台新國際商業銀行,8120193,台新國際商業銀行國際金融業務分行,02-25056966,曹淑玲,1995-03-27,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120193"
