addr,lat,lng,addr_norm,bank_code,bank_name,branch_code,branch_name,tel_no,manager,establish_date,extended_open_time,url,CODEBASE,CODE1,CODE2,VILLCODE,TOWN,COUNTY,CODEBASE_分行數,CODE1_分行數,CODE2_分行數,VILLAGE_分行數
台北市中正區重慶南路一段120號,25.041505,121.512868,台北市中正區建國里重慶南路一段120號,004,臺灣銀行,0040037,臺灣銀行營業部,02-23493456,朱仲之,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040037",A6305-0124-00,A6305-07-009,A6305-07,A6305-022-00,中正區,臺北市,1,2,13,5
台北市凱達格蘭大道2號,25.038947,121.51632,台北市中正區建國里凱達格蘭大道2號,017,兆豐國際商業銀行,0170860,兆豐國際商銀駐外交部簡易型分行,02-23482066,湯秀美,2003-04-21,星期三 09:00至20:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0170860",A6305-0181-00,A6305-07-009,A6305-07,A6305-022-00,中正區,臺北市,1,2,13,5
台北市中正區貴陽街一段120號,25.039025,121.508427,台北市中正區建國里貴陽街一段120號,004,臺灣銀行,0040059,臺灣銀行公庫部,02-23615421,楊添泉,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040059",A6305-0182-00,A6305-07-008,A6305-07,A6305-022-00,中正區,臺北市,1,2,13,5
台北市中正區寶慶路69號,25.041973,121.509065,台北市中正區建國里寶慶路69號,806,元大商業銀行,8061308,元大商業銀行西門分行,02-2388-2768,曾永璋,2012-08-14,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8061308",A6305-0111-00,A6305-07-008,A6305-07,A6305-022-00,中正區,臺北市,1,2,13,5
台北市中正區衡陽路66號,25.042209,121.511651,台北市中正區建國里衡陽路68號,009,彰化商業銀行,0093010,彰化商業銀行城內分行,02-23113791-,林玉惠,1996-04-12,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0093010",A6305-0107-00,A6305-07-005,A6305-07,A6305-022-00,中正區,臺北市,1,1,13,5
台北市中正區館前路49號,25.044981,121.515127,台北市中正區黎明里館前路49號,004,臺灣銀行,0040071,臺灣銀行館前分行,02-23812949,胡宜謙,1959-01-05,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040071",A6305-0041-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,2,13,19,19
台北市許昌街42號,25.045474,121.515438,台北市中正區黎明里許昌街42號,017,兆豐國際商業銀行,0170170,兆豐國際商業銀行城中分行,02-23122222,王大智,1979-04-17,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0170170",A6305-0041-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,2,13,19,19
台北市館前路46號,25.044157,121.51482,台北市中正區黎明里館前路46號,005,臺灣土地銀行,0050418,臺灣土地銀行營業部,02-23483456,張森江,1976-05-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0050418",A6305-0059-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,5,13,19,19
台北市懷寧街53號,25.044212,121.51418,台北市中正區黎明里懷寧街53號,005,臺灣土地銀行,0050751,臺灣土地銀行信託部,02-23483456,游麗玲,1988-07-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0050751",A6305-0059-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,5,13,19,19
台北市館前路46號,25.044157,121.51482,台北市中正區黎明里館前路46號,005,臺灣土地銀行,0050887,臺灣土地銀行國外部,02-23483456,程佩瑜,1990-06-30,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0050887",A6305-0059-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,5,13,19,19
台北市懷寧街53號,25.044212,121.51418,台北市中正區黎明里懷寧街53號,005,臺灣土地銀行,0050924,臺灣土地銀行國際金融業務分行,02-23483456,林慧瑩,1992-04-23,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0050924",A6305-0059-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,5,13,19,19
台北市館前路28號,25.044779,121.514886,台北市中正區黎明里館前路28號,011,上海商業儲蓄銀行,0110060,上海商業儲蓄銀行城中分行,02-23123111,郭聯華,1980-10-18,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0110060",A6305-0059-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,5,13,19,19
台北市中正區館前路77號,25.043703,121.515096,台北市中正區黎明里館前路77號,006,合作金庫商業銀行,0060567,合作金庫商業銀行營業部,02-23118811,林賢明,1946-10-05,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0060567",A6305-0066-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,5,13,19,19
台北市中正區襄陽路9號,25.043517,121.51567,台北市中正區黎明里襄陽路9號,012,台北富邦商業銀行,0127314,台北富邦商業銀行城中分行,02-23885889,陳惠真,1998-01-08,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0127314",A6305-0066-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,5,13,19,19
